DLL Author Name,Authorized Name,DLL Work Record
"44562 : Athanasius, Saint, Patriarch of Alexandria","Athanasius, Saint, Patriarch of Alexandria",Symbolum Quicumque (80093)
"44562 : Athanasius, Saint, Patriarch of Alexandria","Athanasius, Saint, Patriarch of Alexandria",Vita Beati Antonii Abbatis (80094)
"44563 : Atto, Bishop of Vercelli","Atto, Bishop of Vercelli",Capitula (82336)
"44564 : Audradus, of Sens","Audradus, of Sens",Carmina (82338)
"44564 : Audradus, of Sens","Audradus, of Sens",Carmina. Supplementum (82339)
"44565 : Augustine, Saint, Archbishop of Canterbury","Augustine, Saint, Archbishop of Canterbury",Privilegium abbatiae Cantuariensis (39904)
"44565 : Augustine, Saint, Archbishop of Canterbury","Augustine, Saint, Archbishop of Canterbury",Fondatio Abbatiae (90736)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De libero arbitrio (80153)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Contra sermonem Arianorum (80121)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermones Ad Populum. Sermo Sancti Presbyteri Eraclii Discipuli Sancti Augustini (90791)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Dialogus quaestionum lxv (dub.) (91178)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Versus in mensa (80216)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De Spiritu et Anima (90760)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430","Epistulae ad Romanos, inchoata expositio (80184)"
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De magistro (80154)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De adulterinis coniugiis (80122)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermones Dubii. De Cataclysmo Sermo Ad Catechumenos   (90792)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Manuale (dub.) (91179)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De Tempore Barbarico (90761)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Epistulae nuper in lucem prolatae (80185)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De mendacio (80155)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De agone christiano (80123)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermones Inediti Admixtis Quibusdam Dubiis (90793)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Meditationum (dub.) (91180)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De Vera Et Falsa Poenitentia Ad Christum Devotam (90762)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Expositio epistulae ad Galatas (80186)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De moribus ecclesiae catholicae et de moribus Manichaeorum (80156)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De baptismo (80124)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermones Quatuor (90794)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Miscellanea sententiae (dub.) (91181)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De Vita Eremitica ad Sororem (90763)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Expositio quarundam propositionum ex epistula ad Romanos (80187)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De musica (80157)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De beata uita (80125)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermones X [Ex Cod Cassinen]. Sanctissimo Domino Nostro Pio Papae VII (90795)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Scala paradisi (dub.) (91182)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Epistola Ad Valerium Comitem (90764)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Gesta cum Emerito (80188)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De natura boni (80158)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De bono coniugali (80126)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermones. De Symbolo Ad Catechumenos Sermo Alius (90796)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermo de bono disciplinae (dub.) (91183)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Ad catholicos de secta Donatistarum (80095)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Excerpta Et Scripta Vetera Ad Donatistarum Historiam Pertinentia (90765)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",In Iohannis epistulam ad Parthos tractatus (80189)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De natura et gratia (80159)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De bono uiduitatis (80127)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermones. De Symbolo Ad Catechumenos Sermo Alius II (90797)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermo de contemptu mundi (dub.) (91184)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Adnotationes in Iob (80096)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Hypomnesticon Vulgo Libri Hypognosticon   (90766)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",In Iohannis euangelium tractatus (80190)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De natura et origine animae (80160)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De catechizandis rudibus (80128)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermones. De Symbolo Sermo Ad Catechumenos (90798)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermo de eo quod neophytis ex oleo sancto aures et nares a sacerdotibus illiniantur (dub.) (91185)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Aduersus Iudaeos (80097)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",In Psalmum XLI Ad Neophytos (90767)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Laus Cerei (80191)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De nuptiis et concupiscentia (80161)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De Civitate Dei (80129)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermonum Fragmenta (90799)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermo de generalitate eleemosynarum (dub.) (91186)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Ars breuiata (80098)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Libellus Adversus Fulgentium Donatistam (90768)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Locutionum in heptateuchum libri septem (80192)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De octo Dulcitii quaestionibus (80162)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De consensu euangelistarum (80130)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermo de mysterio baptisimatis (dub.) (91187)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Breuiculus collationis cum Donatistis (80099)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Liber de Divinis Scripturis sive Speculum (90769)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Principia rhetorices (80193)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Ad Donatistas Post Collationem (90737)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De octo quaestionibus ex ueteri testamento (80163)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De continentia (80131)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermo de vanitate saeculi (dub.) (91188)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Collatio cum Maximino (80100)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Liber Sententiarum XXI/ Viginti Unius Sententiarum (90770)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Psalmus contra partem Donati (80194)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Quaestiones euangeliorum (80195)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Ad Valentinum Epistolae Duae Cum Subsequente Libro Transmissae   (90738)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De opere monachorum (80164)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De correptione et gratia (80132)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermones ad fratres in eremo commorantes et quosdam alios (dub.) (91189)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Opusculum I Sive Liber De Oratione (90771)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Quaestiones XVI in Matthaeum (80196)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Adversus Quinque Haereses (90739)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De ordine (80165)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De cura pro mortuis gerenda (80133)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Sermones quatuor Sancto Augustino attributi (dub.) (91190)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Confessionum libri tredecim (80101)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Opusculum II Sive Liber De Quatuor Virtutibus Charitatis (90772)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Quaestionum in heptateuchum libri septem (80197)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Categoriae Decem Ex Aristotele Decerpatae   (90740)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De patientia (80166)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",De dialectica (80134)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Soliloquiorum adscriptorum caput postremum (dub.) (91191)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Contra Academicos (80102)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Opusculum III Sive Homilia In Dominica II Adventus (90773)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Regula tertia uel Praeceptum (80198)
"44566 : Augustine, of Hippo, Saint, 354-430","Augustine, of Hippo, Saint, 354-430",Cognitio Vitate (90741)
