Nid,DLL Author Record,Authorized Name,Author Name Latin,Author Name English,Author Name Native Language,Also known as,Other Alternative Name Form(s),Time Period,LoC Source,LofC URI,LoC ID,VIAF Source,PHI Author Name,Perseus Name,BNE Name,BNF Name,DNB Name,ICCU Name,ISNI Name,WorldCat Identity
91761,"91761 : Maire, Joannes, 1576-","Maire, Joannes, 1576-",,,,,,Neo-Latin,https://lccn.loc.gov/c.gov/authorities/names/no96046693,https://id.loc.gov/authorities/names/no96046693,no96046693,http://viaf.org/viaf/103189997,,,,Maire Joannes 15..-1657?,"Maire, Joannes 1576-",,"Maire, Joannes 1602?-1657?",https://www.worldcat.org/identities/lccn-no96046693
91643,"91643 : Maittaire, Michael, 1667-1747","Maittaire, Michael, 1667-1747",,,,,,Neo-Latin,https://lccn.loc.gov/c.gov/authorities/names/n89646959,https://id.loc.gov/authorities/names/n89646959,n89646959,http://viaf.org/viaf/9865630,,,,Maittaire Michael 1668-1747,"Maittaire, Michael 1668-1747",,"Maittaire, Michel 1668-1747",https://www.worldcat.org/identities/lccn-n89646959
91764,"91764 : Maizières, Gilles de, 1507-1519","Maizières, Gilles de, 1507-1519",,,,,,Neo-Latin,,,,http://viaf.org/viaf/22491752,,,,Maizières Gilles de 14..-15..,"Maizières, Gilles de",,"Maizières, Gilles de 1507-1519",
89422,"89422 : Major, Carolus, -1766","Major, Carolus, -1766",,,,,,Neo-Latin,,,,https://viaf.org/viaf/52882703,,,,,,,,
71666,"71666 : Major, John, 1469-1550","Major, John, 1469-1550",Johannes Maior,John Major,John Mair,,,Medieval,http://lccn.loc.gov/n82118522,https://id.loc.gov/authorities/names/n82118522,n82118522,http://viaf.org/viaf/99949266,,,,Major John 1467?-1550,"Major, John 1469-1550",,"Maior Hadingtonensis, Johannes",https://www.worldcat.org/identities/lccn-n82118522
45574,"45574 : Malaterra, Goffredo","Malaterra, Goffredo",Gaufridus Malaterra,Geoffrey Malaterra,Gaufredo Malaterra,,,Medieval,http://lccn.loc.gov/no2003052116,https://id.loc.gov/authorities/names/no2003052116,no2003052116,http://viaf.org/viaf/54279828,,,"Malaterra, Galfredus",Geoffroi Malaterra,,,"Malaterra, Goffredo",https://www.worldcat.org/identities/lccn-no2003052116
90640,"90640 : Malatesta, Sigismondo Pandolfo, signore di Rimini, 1417-1468","Malatesta, Sigismondo Pandolfo, signore di Rimini, 1417-1468",,,,,,Neo-Latin,https://lccn.loc.gov/n79043839,https://id.loc.gov/authorities/names/n79043839,n79043839,http://viaf.org/viaf/50021300,,,,Malatesta Sigismondo Pandolfo 1417-1468,"Malatesta, Sigismondo Pandolfo 1417-1468","Malatesta , Sigismondo Pandolfo","Malatesta, Sigismondo Pandolfo",https://www.worldcat.org/identities/lccn-n79043839
91589,"91589 : Malcovati, Enrica","Malcovati, Enrica",,,,,,Neo-Latin,https://lccn.loc.gov/n82239184,http://id.loc.gov/authorities/names/n82239184,n82239184,http://viaf.org/viaf/108604095,,,,"Malcovati, Enrica, 1894-1990","Malcovati, Enrica ","Malcovati, Enrica ","Malcovati, E.",https://www.worldcat.org/identities/lccn-n82239184/
71151,"71151 : Maldonado, Juan de 1534-1583","Maldonado, Juan de 1534-1583",Ioannes Maldonatus,,,,,Neo-Latin,http://lccn.loc.gov/n85379996,https://id.loc.gov/authorities/names/n85379996,n85379996,http://viaf.org/viaf/71495510,,,"Maldonado, Juan de 1533-1583",Maldonado Juan 1533-1583,"Maldonado, Juan de 1534-1583","Maldonado , Juan : de ","Maldonado, Juan de",https://www.worldcat.org/identities/lccn-n85379996
71150,"71150 : Maldonado, Juan, approximately 1485-1554","Maldonado, Juan, approximately 1485-1554",Ioannes‏ Maldonatus,,,,,Neo-Latin,http://lccn.loc.gov/n83181357,https://id.loc.gov/authorities/names/n83181357,n83181357,http://viaf.org/viaf/64018172,,,"Maldonado, Juan ca. 1485-ca. 1554",Maldonado Juan 1485?-1554,"Maldonado, Juan 1485-1554",,"Maldonado, Juan 1485?-1554?",https://www.worldcat.org/identities/lccn-n83181357
70865,"70865 : Mallius Theodorus, Flavius","Mallius Theodorus, Flavius",,Flavius Mallius Theodorus/Pseudo-Ambrosius Mediolanensis,,,,Classical,http://lccn.loc.gov/no2004090858,https://id.loc.gov/authorities/names/no2004090858,no2004090858,http://viaf.org/viaf/305239870,,"Mallius Theodorus, Flavius, fl. 377-409",,,"Mallius Theodorus, Flavius ca. 399",,Flavius Mallius Theodorus,https://www.worldcat.org/identities/lccn-no2004090858
45326,"45326 : Mallius, Petrus","Mallius, Petrus",Petrus Mallius,,,,,Medieval,http://lccn.loc.gov/nr2002007448,https://id.loc.gov/authorities/names/nr2002007448,nr2002007448,http://viaf.org/viaf/78712670,,,,,,,"Mallius, Petrus",https://www.worldcat.org/identities/lccn-nr2002007448
45019,45019 : Malsachanus,Malsachanus,Malsachanus,,,,,Medieval,http://lccn.loc.gov/n2010065908,https://id.loc.gov/authorities/names/n2010065908,n2010065908,http://viaf.org/viaf/139799303,,,,,,,Malsachanus (Latin grammarian),https://www.worldcat.org/identities/lccn-n2010065908
71667,"71667 : Malverne, John, -1415?","Malverne, John, -1415?",Johannes Malvernaeus,John Malverne,,,,Medieval,http://lccn.loc.gov/no99047532,https://id.loc.gov/authorities/names/no99047532,no99047532,http://viaf.org/viaf/68566938,,,,Johannes Malvernaeus 13..-1415?,,,"Malverne, John -1415?",https://www.worldcat.org/identities/lccn-no99047532
71448,"71448 : Mambrun, Pierre de, 1601-1661","Mambrun, Pierre de, 1601-1661",Petrus Mambrunus,,Pierre de Mambrun,,,Neo-Latin,,,,http://viaf.org/viaf/62625580,,,,Mambrun Pierre 1601-1661,"Mambrunus, Petrus 1601-1661",,"Mambrunus, Petrus 1601-1661",
84076,"84076 : Mamertinus Claudius, active 4th century","Mamertinus Claudius, active 4th century",,,,,,Classical,,http://id.loc.gov/authorities/names/n87923939,n87923939,https://viaf.org/viaf/236624138,,,,,,,,
71251,"71251 : Mancinus, Dominicus, active 1478-1491","Mancinus, Dominicus, active 1478-1491",Domenicus Mancius,,Domenico Mancini,,,Medieval,http://lccn.loc.gov/n87815652,https://id.loc.gov/authorities/names/n87815652,n87815652,http://viaf.org/viaf/34602833,,,,Mancini Domenico 143.-151.,"Mancinus, Dominicus",,"Mancinus, Dominicus",https://www.worldcat.org/identities/lccn-n87815652
71668,"71668 : Mandeville, John, Sir","Mandeville, John, Sir",,John Mandeville,Jean Mandeville,,,Medieval,https://lccn.loc.gov/n80119371,http://id.loc.gov/authorities/names/n80119371,n80119371,http://viaf.org/viaf/66561327,,,,,,,,
45020,"45020 : Manegold, von Lautenbach","Manegold, von Lautenbach",Manegoldus Lautenbacensis,Manegold of Lautenbach,Manegold von Lautenbach,,,Medieval,http://lccn.loc.gov/n85075853,https://id.loc.gov/authorities/names/n85075853,n85075853,http://viaf.org/viaf/39347944,,,,Manegold de Lautenbach 10..?-1103?,Manegoldus Lautenbacensis 1030-1103,,Manegold approximately 1030-approximately 1112 von Lautenbach,https://www.worldcat.org/identities/lccn-n85075853
71449,"71449 : Manetti, Giannozzo, 1396-1459","Manetti, Giannozzo, 1396-1459",Iannotius Manettus,,Giannozzo Manetti,,,Neo-Latin,http://lccn.loc.gov/n79065095,https://id.loc.gov/authorities/names/n79065095,n79065095,http://viaf.org/viaf/68944891,,,"Manetti, Giannozzo 1396-1459",Manetti Giannozzo 1396-1459,"Manettus, Iannotius 1396-1459","Manetti , Giannozzo","Manetti, Gianozzo",https://www.worldcat.org/identities/lccn-n79065095
72021,"72021 : Manilius, Lucius","Manilius, Lucius","Manilius, poet.",,,,,Classical,,,,https://viaf.org/viaf/2858115,"Manilius, poet.","Manilius, Lucius um 97 v. Chr. ",,,,,,
71973,"71973 : Manilius, M'. (Manius), active 2nd century B.C.","Manilius, M'. (Manius), active 2nd century B.C.",Manius Manilius,,,,,Classical,https://lccn.loc.gov/nr95033837,http://id.loc.gov/authorities/names/nr95033837,nr95033837,https://viaf.org/viaf/114145542622396641854,Manius Manilius,,,,,,,
45831,"45831 : Manilius, Marcus","Manilius, Marcus","Marcus Manilius, Manilius",,Marcus Manilius,,,Classical,http://lccn.loc.gov/n79055083,https://id.loc.gov/authorities/names/n79055083,n79055083,http://viaf.org/viaf/22137113,"Marcus Manilius, Manilius","Manilius, Marcus","Manilio, Marco",Manilius Marcus 00.. av. J.-C.-00..,,,"Manilius, Marcus ca år 0",https://www.worldcat.org/identities/lccn-n79055083
91848,"91848 : Manitius, Max, 1858-1933","Manitius, Max, 1858-1933",,,,,,Neo-Latin,https://lccn.loc.gov/c.gov/authorities/names/n85311450,https://id.loc.gov/authorities/names/n85311450,n85311450,http://viaf.org/viaf/71536272,,,,Manitius Max 1858-1933,"Manitius, Max 1858-1933",,"Manitius, Maximilianus 1858-1933",https://www.worldcat.org/identities/lccn-n85311450
89462,"89462 : Manlius, Christoph, 1546-1575","Manlius, Christoph, 1546-1575",,,,,,Neo-Latin,,,,https://viaf.org/viaf/35272946,,,,,,,,
84119,"84119 : Mantino, Jacob, -1549?","Mantino, Jacob, -1549?",,,,,,Neo-Latin,https://lccn.loc.gov/n90680175,http://id.loc.gov/authorities/names/n90680175,n90680175,https://viaf.org/viaf/66824097,,,,,,,,
89485,"89485 : Mantuani, Josef, 1860-1933","Mantuani, Josef, 1860-1933",,,,,,Neo-Latin,https://lccn.loc.gov/n80043385,http://id.loc.gov/authorities/names/n80043385,n80043385,https://viaf.org/viaf/52513189,,,,,,,,
